"filename", "language", "Markdown", "JSON", "JavaScript", "XML", "JavaScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\Moe\Desktop\Quiz-App\README.md", "Markdown", 425, 0, 0, 0, 0, 0, 0, 0, 172, 597
"c:\Users\Moe\Desktop\Quiz-App\backend\package-lock.json", "JSON", 0, 6269, 0, 0, 0, 0, 0, 0, 1, 6270
"c:\Users\Moe\Desktop\Quiz-App\backend\package.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\Moe\Desktop\Quiz-App\backend\src\app.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Moe\Desktop\Quiz-App\backend\src\config\db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Moe\Desktop\Quiz-App\backend\src\controller\analyticsController.js", "JavaScript", 0, 0, 249, 0, 0, 0, 0, 16, 48, 313
"c:\Users\Moe\Desktop\Quiz-App\backend\src\controller\attemptController.js", "JavaScript", 0, 0, 344, 0, 0, 0, 0, 47, 65, 456
"c:\Users\Moe\Desktop\Quiz-App\backend\src\controller\authController.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 3, 10, 66
"c:\Users\Moe\Desktop\Quiz-App\backend\src\controller\quizController.js", "JavaScript", 0, 0, 237, 0, 0, 0, 0, 17, 43, 297
"c:\Users\Moe\Desktop\Quiz-App\backend\src\controller\resultsController.js", "JavaScript", 0, 0, 127, 0, 0, 0, 0, 10, 23, 160
"c:\Users\Moe\Desktop\Quiz-App\backend\src\controller\userController.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 2, 6, 33
"c:\Users\Moe\Desktop\Quiz-App\backend\src\middleware\auth.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 2, 6, 34
"c:\Users\Moe\Desktop\Quiz-App\backend\src\model\attemptModel.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 1, 6, 66
"c:\Users\Moe\Desktop\Quiz-App\backend\src\model\quizModel.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 4, 7, 86
"c:\Users\Moe\Desktop\Quiz-App\backend\src\model\userModel.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Moe\Desktop\Quiz-App\backend\src\routes\analyticsRouter.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Moe\Desktop\Quiz-App\backend\src\routes\attemptRouter.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Moe\Desktop\Quiz-App\backend\src\routes\authRoute.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Moe\Desktop\Quiz-App\backend\src\routes\quizRouter.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\Moe\Desktop\Quiz-App\backend\src\routes\resultsRouter.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 3, 5, 20
"c:\Users\Moe\Desktop\Quiz-App\backend\src\routes\usersRoute.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 5, 12
"c:\Users\Moe\Desktop\Quiz-App\backend\src\server.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Moe\Desktop\Quiz-App\backend\src\utils\analytics.js", "JavaScript", 0, 0, 170, 0, 0, 0, 0, 13, 37, 220
"c:\Users\Moe\Desktop\Quiz-App\backend\src\utils\export.js", "JavaScript", 0, 0, 154, 0, 0, 0, 0, 17, 28, 199
"c:\Users\Moe\Desktop\Quiz-App\backend\src\utils\genereateToken.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Moe\Desktop\Quiz-App\backend\src\utils\scoring.js", "JavaScript", 0, 0, 105, 0, 0, 0, 0, 4, 24, 133
"c:\Users\Moe\Desktop\Quiz-App\frontend\README.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\Moe\Desktop\Quiz-App\frontend\eslint.config.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Moe\Desktop\Quiz-App\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\Moe\Desktop\Quiz-App\frontend\package.json", "JSON", 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\Moe\Desktop\Quiz-App\frontend\postcss.config.cjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Moe\Desktop\Quiz-App\frontend\public\errorimage.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Moe\Desktop\Quiz-App\frontend\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
