Date : 2025-09-25 21:49:37
Directory : c:\Users\Moe\Desktop\Quiz-App
Total : 83 files,  13925 codes, 397 comments, 1043 blanks, all 15365 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\QuestionEditor.jsx                    | JavaScript JSX |        309 |          7 |         16 |        332 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\QuizCard.jsx                          | JavaScript JSX |        120 |          0 |         12 |        132 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\RoleRoute.jsx                         | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\analytics\AnalyticsSummary.jsx        | JavaScript JSX |        131 |          5 |          7 |        143 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\analytics\ConfidenceCalibration.jsx   | JavaScript JSX |        254 |         12 |         17 |        283 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\analytics\PerformanceDistribution.jsx | JavaScript JSX |        157 |          5 |          9 |        171 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\analytics\QuestionAnalytics.jsx       | JavaScript JSX |        129 |          8 |         11 |        148 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\analytics\resultsTable.jsx            | JavaScript JSX |        224 |          1 |         16 |        241 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\ui\LoadingSpinner.jsx                 | JavaScript JSX |         18 |          1 |          4 |         23 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\hooks\useQuiz.js                                 | JavaScript     |         15 |          0 |          4 |         19 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\index.css                                        | PostCSS        |         33 |          1 |          5 |         39 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\main.jsx                                         | JavaScript JSX |         16 |          0 |          3 |         19 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\AttemptResultPage.jsx                      | JavaScript JSX |        329 |         18 |         26 |        373 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\JoinQuizPage.jsx                           | JavaScript JSX |        322 |         14 |         31 |        367 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\Landing.jsx                                | JavaScript JSX |         93 |          7 |         10 |        110 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\NotFound.jsx                               | JavaScript JSX |         49 |          4 |          5 |         58 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\PublicAttemptPlayer.jsx                    | JavaScript JSX |        282 |         17 |         25 |        324 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\TeacherAttemptsPage.jsx                    | JavaScript JSX |        243 |         21 |         16 |        280 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\auth\Login.jsx                             | JavaScript JSX |        129 |          2 |         13 |        144 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\auth\Register.jsx                          | JavaScript JSX |        112 |          2 |         13 |        127 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\teacher\AnalyticsDashboard.jsx             | JavaScript JSX |        192 |          9 |         18 |        219 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\teacher\Profile.jsx                        | JavaScript JSX |        369 |         19 |         38 |        426 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\teacher\QuizForm.jsx                       | JavaScript JSX |        302 |          7 |         30 |        339 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\teacher\QuizList.jsx                       | JavaScript JSX |        109 |          4 |          7 |        120 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\teacher\TeacherDashboard.jsx               | JavaScript JSX |        165 |          8 |         17 |        190 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\pages\teacher\TeacherQuizView.jsx                | JavaScript JSX |        471 |         13 |         37 |        521 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\services\analyticsService.js                     | JavaScript     |         24 |          5 |          4 |         33 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\services\api.js                                  | JavaScript     |         12 |          1 |          4 |         17 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\services\attemptService.js                       | JavaScript     |         37 |          1 |          9 |         47 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\services\authService.js                          | JavaScript     |         13 |          0 |          4 |         17 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\services\quizService.js                          | JavaScript     |         33 |          0 |          8 |         41 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\services\resultsService.js                       | JavaScript     |         23 |          5 |          6 |         34 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\store\slices\attemptSlice.js                     | JavaScript     |         43 |          0 |          5 |         48 |
